filename,transcription,word
child-daddy512,daddy goldilocks song i need,daddy
child-daddy513,daddy's at work,daddy
child-daddy514,daddy take the special cookie away,daddy
child-daddy515,how about yyy daddy xxx,daddy
child-daddy516,daddy,daddy
child-daddy517,or we could play daddy's at work,daddy
child-daddy518,xxx daddy,daddy
child-daddy519,daddy,daddy
child-daddy520,daddy putting shirt on,daddy
child-daddy521,wasn't going away daddy will come home,daddy
child-daddy522,daddy,daddy
child-daddy523,daddy,daddy
child-daddy524,daddy's puppy,daddy
